ID,View/Description,Camera/Sensor/Method,Res,DelT
IDR71C,Terrey Hills NSW,Rainfields since 9am,N/A,10
IDR71D,Terrey Hills NSW,Rainfields in 24 hours,N/A,271
IDR71I,Terrey Hills NSW,Doppler wind velocity,N/A,1.2

IDR721,Emerald QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR722,Emerald QLD,Mid-scale 272km x 272km Composite,N/A,1.2
IDR723,Emerald QLD,Local-scale 172km x 172km Composite,N/A,1.2
IDR724,Emerald QLD,Local-scale 72km x 72km Composite,N/A,1.2
IDR72I,Emerald QLD,Doppler wind velocity,N/A,1.2

IDR731,Townsville (Hervey Range) QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR732,Townsville (Hervey Range) QLD,Mid-scale 273km x 273km Composite,N/A,1.2
IDR733,Townsville (Hervey Range) QLD,Local-scale 173km x 173km Composite,N/A,1.2
IDR734,Townsville (Hervey Range) QLD,Local-scale 73km x 73km Composite,N/A,1.2
IDR73I,Townsville (Hervey Range) QLD,Doppler wind velocity,N/A,1.2

IDR741,Greenvale QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR742,Greenvale QLD,Mid-scale 274km x 274km Composite,N/A,1.2
IDR743,Greenvale QLD,Local-scale 174km x 174km Composite,N/A,1.2
IDR744,Greenvale QLD,Local-scale 74km x 74km Composite,N/A,1.2
IDR74A,Greenvale QLD,Rainfields per 6 minutes,N/A,1.2
IDR74B,Greenvale QLD,Rainfields per hour,N/A,1.2
IDR74C,Greenvale QLD,Rainfields since 9am,N/A,10
IDR74D,Greenvale QLD,Rainfields in 24 hours,N/A,274
IDR74I,Greenvale QLD,Doppler wind velocity,N/A,1.2

IDR751,Mount Isa QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR752,Mount Isa QLD,Mid-scale 275km x 275km Composite,N/A,1.2
IDR753,Mount Isa QLD,Local-scale 175km x 175km Composite,N/A,1.2
IDR754,Mount Isa QLD,Local-scale 75km x 75km Composite,N/A,1.2
IDR75A,Mount Isa QLD,Rainfields per 6 minutes,N/A,1.2
IDR75B,Mount Isa QLD,Rainfields per hour,N/A,1.2
IDR75C,Mount Isa QLD,Rainfields since 9am,N/A,10
IDR75D,Mount Isa QLD,Rainfields in 24 hours,N/A,275
IDR75I,Mount Isa QLD,Doppler wind velocity,N/A,1.2

IDR761,Hobart (Mt Koonya) TAS,Broad-scale 512km x 512km Composite,N/A,1.2
IDR762,Hobart (Mt Koonya) TAS,Mid-scale 256km x 256km Composite,N/A,1.2
IDR763,Hobart (Mt Koonya) TAS,Local-scale 142km x 142km Composite,N/A,1.2
IDR764,Hobart (Mt Koonya) TAS,Local-scale 69km x 69km Composite,N/A,1.2
IDR76A,Hobart (Mt Koonya) TAS,Rainfields per 6 minutes,N/A,1.2
IDR76B,Hobart (Mt Koonya) TAS,Rainfields per hour,N/A,1.2
IDR76C,Hobart (Mt Koonya) TAS,Rainfields since 9am,N/A,10
IDR76D,Hobart (Mt Koonya) TAS,Rainfields in 24 hours,N/A,266
IDR76I,Hobart (Mt Koonya) TAS,Doppler wind velocity,N/A,1.2

IDR771,Warruwi (Arafura) NT,Broad-scale 512km x 512km Composite,N/A,1.2
IDR772,Warruwi (Arafura) NT,Mid-scale 277km x 277km Composite,N/A,1.2
IDR773,Warruwi (Arafura) NT,Local-scale 177km x 177km Composite,N/A,1.2
IDR774,Warruwi (Arafura) NT,Local-scale 77km x 77km Composite,N/A,1.2
IDR77D,Warruwi (Arafura) NT,Rainfields in 24 hours,N/A,277
IDR77I,Warruwi (Arafura) NT,Doppler wind velocity,N/A,1.2

IDR781,Weipa QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR782,Weipa QLD,Mid-scale 278km x 278km Composite,N/A,1.2
IDR783,Weipa QLD,Local-scale 178km x 178km Composite,N/A,1.2
IDR784,Weipa QLD,Local-scale 78km x 78km Composite,N/A,1.2
IDR78I,Weipa QLD,Doppler wind velocity,N/A,1.2

IDR791,Watheroo QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR792,Watheroo QLD,Mid-scale 279km x 279km Composite,N/A,1.2
IDR793,Watheroo QLD,Local-scale 179km x 179km Composite,N/A,1.2
IDR794,Watheroo QLD,Local-scale 79km x 79km Composite,N/A,1.2
IDR79A,Watheroo QLD,Rainfields per 6 minutes,N/A,1.2
IDR79B,Watheroo QLD,Rainfields per hour,N/A,1.2
IDR79C,Watheroo QLD,Rainfields since 9am,N/A,10
IDR79D,Watheroo QLD,Rainfields in 24 hours,N/A,279
IDR79I,Watheroo QLD,Doppler wind velocity,N/A,1.2

IDR931,Brewarrina NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR932,Brewarrina NSW,Mid-scale 293km x 293km Composite,N/A,1.2
IDR933,Brewarrina NSW,Local-scale 193km x 193km Composite,N/A,1.2
IDR934,Brewarrina NSW,Local-scale 93km x 93km Composite,N/A,1.2
IDR93A,Brewarrina NSW,Rainfields per 6 minutes,N/A,1.2
IDR93B,Brewarrina NSW,Rainfields per hour,N/A,1.2
IDR93C,Brewarrina NSW,Rainfields since 9am,N/A,10
IDR93D,Brewarrina NSW,Rainfields in 24 hours,N/A,293
IDR93I,Brewarrina NSW,Doppler wind velocity,N/A,1.2

IDR941,Hillston NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR942,Hillston NSW,Mid-scale 294km x 294km Composite,N/A,1.2
IDR943,Hillston NSW,Local-scale 194km x 194km Composite,N/A,1.2
IDR944,Hillston NSW,Local-scale 94km x 94km Composite,N/A,1.2
IDR94A,Hillston NSW,Rainfields per 6 minutes,N/A,1.2
IDR94B,Hillston NSW,Rainfields per hour,N/A,1.2
IDR94C,Hillston NSW,Rainfields since 9am,N/A,10
IDR94D,Hillston NSW,Rainfields in 24 hours,N/A,294
IDR94I,Hillston NSW,Doppler wind velocity,N/A,1.2

IDR951,Rainbow VIC,Broad-scale 512km x 512km Composite,N/A,1.2
IDR952,Rainbow VIC,Mid-scale 295km x 295km Composite,N/A,1.2
IDR953,Rainbow VIC,Local-scale 195km x 195km Composite,N/A,1.2
IDR954,Rainbow VIC,Local-scale 95km x 95km Composite,N/A,1.2
IDR95A,Rainbow VIC,Rainfields per 6 minutes,N/A,1.2
IDR95B,Rainbow VIC,Rainfields per hour,N/A,1.2
IDR95C,Rainbow VIC,Rainfields since 9am,N/A,10
IDR95D,Rainbow VIC,Rainfields in 24 hours,N/A,295
IDR95I,Rainbow VIC,Doppler wind velocity,N/A,1.2

IDR961,Yeoval NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR962,Yeoval NSW,Mid-scale 296km x 296km Composite,N/A,1.2
IDR963,Yeoval NSW,Local-scale 196km x 196km Composite,N/A,1.2
IDR964,Yeoval NSW,Local-scale 96km x 96km Composite,N/A,1.2
IDR96A,Yeoval NSW,Rainfields per 6 minutes,N/A,1.2
IDR96B,Yeoval NSW,Rainfields per hour,N/A,1.2
IDR96C,Yeoval NSW,Rainfields since 9am,N/A,10
IDR96D,Yeoval NSW,Rainfields in 24 hours,N/A,296
IDR96I,Yeoval NSW,Doppler wind velocity,N/A,1.2

IDR971,Mildura VIC,Broad-scale 512km x 512km Composite,N/A,1.2
IDR972,Mildura VIC,Mid-scale 297km x 297km Composite,N/A,1.2
IDR973,Mildura VIC,Local-scale 197km x 197km Composite,N/A,1.2
IDR974,Mildura VIC,Local-scale 97km x 97km Composite,N/A,1.2
IDR97A,Mildura VIC,Rainfields per 6 minutes,N/A,1.2
IDR97B,Mildura VIC,Rainfields per hour,N/A,1.2
IDR97C,Mildura VIC,Rainfields since 9am,N/A,10
IDR97D,Mildura VIC,Rainfields in 24 hours,N/A,297
IDR97I,Mildura VIC,Doppler wind velocity,N/A,1.2

IDR981,Taroom QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR982,Taroom QLD,Mid-scale 298km x 298km Composite,N/A,1.2
IDR983,Taroom QLD,Local-scale 198km x 198km Composite,N/A,1.2
IDR984,Taroom QLD,Local-scale 98km x 98km Composite,N/A,1.2
IDR98A,Taroom QLD,Rainfields per 6 minutes,N/A,1.2
IDR98B,Taroom QLD,Rainfields per hour,N/A,1.2
IDR98C,Taroom QLD,Rainfields since 9am,N/A,10
IDR98D,Taroom QLD,Rainfields in 24 hours,N/A,298
IDR98I,Taroom QLD,Doppler wind velocity,N/A,1.2
