ID,View/Description,Camera/Sensor/Method,Res,DelT
IDR06B,Geraldton WA,Rainfields per hour,N/A,1.2
IDR06C,Geraldton WA,Rainfields since 9am,N/A,10
IDR06D,Geraldton WA,Rainfields in 24 hours,N/A,240
IDR06I,Geraldton WA,Doppler wind velocity,N/A,1.2

IDR071,Wyndham WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR072,Wyndham WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR073,Wyndham WA,Local-scale 128km x 128km Composite,N/A,1.2
IDR07A,Wyndham WA,Rainfields per 6 minutes,N/A,1.2

IDR081,Gympie/Mt Kanighan QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR082,Gympie/Mt Kanighan QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR083,Gympie/Mt Kanighan QLD,Local-scale 128km x 128km Composite,N/A,1.2
IDR084,Gympie QLD,Local-scale 64km x 64km Composite,N/A,1.2
IDR08A,Gympie QLD,Rainfields per 6 minutes,N/A,1.2
IDR08B,Gympie QLD,Rainfields per hour,N/A,1.2
IDR08C,Gympie QLD,Rainfields since 9am,N/A,10
IDR08D,Gympie QLD,Rainfields in 24 hours,N/A,240
IDR08I,Gympie QLD,Doppler wind velocity,N/A,1.2

IDR091,Gove NT,Broad-scale 512km x 512km Composite,N/A,1.2
IDR092,Gove NT,Mid-scale 256km x 256km Composite,N/A,1.2
IDR093,Gove NT,Local-scale 128km x 128km Composite,N/A,1.2
IDR09A,Gove NT,Rainfields per 6 minutes,N/A,1.2

IDR101,Darwin NT (Backup),Broad-scale 512km x 512km Composite,N/A,1.2
IDR102,Darwin NT (Backup),Mid-scale 256km x 256km Composite,N/A,1.2
IDR103,Darwin NT (Backup),Local-scale 128km x 128km Composite,N/A,1.2
IDR104,Darwin Airport NT,Local-scale 64km x 64km Composite,N/A,1.2
IDR10I,Darwin Airport NT,Doppler wind velocity,N/A,1.2

IDR1051,Brisbane Airport QLD,Broad Scale 512km x 512km Composite,N/A,1.2
IDR1052,Brisbane Airport QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR1053,Brisbane Airport QLD,Local-scale 128km x 128km Composite,N/A,1.2
IDR1054,Brisbane Airport QLD,Local-scale 64km x 64km Composite,N/A,1.2

IDR1071,Richmond QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR1072,Richmond QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR1073,Richmond QLD,Local-scale 128km x 128km Composite,N/A,1.2
IDR1074,Richmond QLD,Local-scale 64km x 64km Composite,N/A,1.2
IDR107A,Richmond QLD,Rainfields per 6 minutes,N/A,1.2
IDR107B,Richmond QLD,Rainfields per hour,N/A,1.2
IDR107C,Richmond QLD,Rainfields since 9am,N/A,10
IDR107D,Richmond QLD,Rainfields in 24 hours,N/A,240
IDR107I,Richmond QLD,Doppler wind velocity,N/A,1.2

IDR141,Mt Gambier SA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR142,Mt Gambier SA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR143,Mt Gambier SA,Local-scale 128km x 128km Composite,N/A,1.2
IDR14A,Mt Gambier SA,Rainfields per 6 minutes,N/A,1.2

IDR151,Dampier WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR152,Dampier WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR153,Dampier WA,Local-scale 128km x 128km Composite,N/A,1.2
IDR154,Dampier WA,Local-scale 64km x 64km Composite,N/A,1.2
IDR15A,Dampier WA,Rainfields per 6 minutes,N/A,1.2
IDR15B,Dampier WA,Rainfields per hour,N/A,1.2
IDR15C,Dampier WA,Rainfields since 9am,N/A,10
IDR15D,Dampier WA,Rainfields in 24 hours,N/A,240
IDR15I,Dampier WA,Doppler wind velocity,N/A,1.2

IDR161,Hedland WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR162,Hedland WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR163,Hedland WA,Local-scale 128km x 128km Composite,N/A,1.2
